source_code,source_label_verified,source_version,provenance_note
345.00,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy",ICD-9-CM diagnosis code set used by 2018 GEMs,Scoped label verification; punctuation/wording differences from user input retained for review.
345.10,"Generalized convulsive epilepsy, without mention of intractable epilepsy",ICD-9-CM diagnosis code set used by 2018 GEMs,Scoped label verification; punctuation/wording differences from user input retained for review.
345.40,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",ICD-9-CM diagnosis code set used by 2018 GEMs,Scoped label verification; punctuation/wording differences from user input retained for review.
345.90,"Epilepsy, unspecified, without mention of intractable epilepsy",ICD-9-CM diagnosis code set used by 2018 GEMs,Scoped label verification; punctuation/wording differences from user input retained for review.
345.91,"Epilepsy, unspecified, with intractable epilepsy",ICD-9-CM diagnosis code set used by 2018 GEMs,Scoped label verification; punctuation/wording differences from user input retained for review.
