source_code,source_label_raw,include_in_mvp,note
345.00,"Generalized nonconvulsive epilepsy, not intractable.",TRUE,user-defined fixed scope
345.10,"Generalized convulsive epilepsy, not intractable.",TRUE,user-defined fixed scope
345.40,Localization-related (focal) epilepsy with complex partial seizures.,TRUE,user-defined fixed scope
345.90,"Epilepsy unspecified, not intractable.",TRUE,user-defined fixed scope
345.91,"Epilepsy unspecified, with intractable epilepsy.",TRUE,user-defined fixed scope
